symbol,entry_time_utc,entry_price,effective_entry_price,position_size_usd,zone_weight,exit_time_utc,exit_price,effective_exit_price,pnl_usd,exit_reason
LTC/USDT,2018-06-10 17:00:00,105.740000,105.898610,200.00,16,2019-05-15 20:00:00,100.580000,100.429130,-10.33,sell_resistance
BTC/USDT,2018-06-12 19:00:00,6497.970000,6507.716955,200.00,8,2020-10-27 21:00:00,13692.580000,13672.041130,220.18,sell_resistance
XLM/USDT,2019-01-28 02:00:00,0.091270,0.091407,200.00,8,2020-03-12 23:00:00,0.031740,0.031692,-130.66,sell_stoploss
VET/USDT,2019-09-24 19:00:00,0.003237,0.003242,180.00,9,2020-03-13 00:00:00,0.002235,0.002232,-56.09,sell_stoploss
ZIL/USDT,2019-11-22 14:00:00,0.004550,0.004557,200.00,14,2020-03-12 23:00:00,0.003140,0.003135,-62.39,sell_stoploss
ALGO/USDT,2020-03-12 10:00:00,0.183200,0.183475,200.00,6,2020-07-16 17:00:00,0.335300,0.334797,164.95,sell_resistance
ATOM/USDT,2020-03-14 08:00:00,1.800000,1.802700,200.00,15,2020-08-10 01:00:00,5.472000,5.463792,406.18,sell_resistance
ADA/USDT,2020-03-15 10:00:00,0.027240,0.027281,180.00,9,2020-03-16 07:00:00,0.023120,0.023085,-27.68,sell_stoploss
TRX/USDT,2020-03-15 21:00:00,0.010980,0.010996,180.00,9,2020-03-16 10:00:00,0.008530,0.008517,-40.58,sell_stoploss
TRX/USDT,2020-03-19 12:00:00,0.011000,0.011017,159.35,9,2020-08-16 14:00:00,0.026890,0.026850,229.02,sell_resistance
ADA/USDT,2020-03-22 22:00:00,0.027020,0.027061,159.56,9,2020-07-06 22:00:00,0.105410,0.105252,461.04,sell_resistance
VET/USDT,2020-03-31 14:00:00,0.003244,0.003249,159.10,9,2020-07-04 07:00:00,0.010940,0.010924,375.84,sell_resistance
XLM/USDT,2020-04-28 03:00:00,0.069660,0.069764,138.17,9,2020-11-24 03:00:00,0.161830,0.161587,181.86,sell_resistance
BAT/USDT,2020-09-21 09:00:00,0.223800,0.224136,120.00,13,2021-02-01 00:00:00,0.293700,0.293259,37.01,sell_resistance
LTC/USDT,2021-06-22 13:00:00,107.390000,107.551085,159.83,16,2022-05-11 12:00:00,69.000000,68.896500,-57.45,sell_stoploss
DOGE/USDT,2021-12-04 05:00:00,0.161400,0.161642,160.00,6,2022-05-11 19:00:00,0.083800,0.083674,-77.18,sell_stoploss
AAVE/USDT,2021-12-06 13:00:00,171.100000,171.356650,160.00,7,2022-05-11 12:00:00,83.800000,83.674300,-81.87,sell_stoploss
BCH/USDT,2021-12-10 13:00:00,466.200000,466.899300,160.00,11,2022-01-24 10:00:00,267.600000,267.198600,-68.43,sell_stoploss
XLM/USDT,2022-01-21 01:00:00,0.222500,0.222834,180.92,7,2022-05-11 12:00:00,0.127600,0.127409,-77.48,sell_stoploss
MKR/USDT,2022-01-21 01:00:00,1855.000000,1857.782500,160.00,8,2022-05-09 15:00:00,1090.000000,1088.365000,-66.27,sell_stoploss
LINK/USDT,2022-02-22 03:00:00,13.200000,13.219800,180.00,13,2022-05-09 23:00:00,8.100000,8.087850,-69.88,sell_stoploss
FTM/USDT,2022-03-11 02:00:00,1.150400,1.152126,140.00,6,2022-05-04 22:00:00,0.862300,0.861007,-35.38,sell_resistance
UNI/USDT,2022-04-29 19:00:00,7.580000,7.591370,180.00,6,2022-05-11 12:00:00,5.020000,5.012470,-61.15,sell_stoploss
QNT/USDT,2022-05-08 17:00:00,83.400000,83.525100,200.00,16,2022-10-08 20:00:00,152.800000,152.570800,165.33,sell_resistance
MATIC/USDT,2022-06-06 00:00:00,0.612000,0.612918,180.00,7,2022-06-14 01:00:00,0.400000,0.399400,-62.71,sell_stoploss
XMR/USDT,2022-06-13 22:00:00,130.800000,130.996200,160.00,11,2022-06-21 06:00:00,121.800000,121.617300,-11.46,sell_resistance
XMR/USDT,2022-06-30 09:00:00,110.000000,110.165000,179.79,5,2022-07-04 11:00:00,120.800000,120.618800,17.06,sell_resistance
XMR/USDT,2022-07-08 23:00:00,125.300000,125.487950,160.09,5,2023-01-09 03:00:00,160.000000,159.760000,43.72,sell_resistance
